GID_2,NAME_2,NAME_1,region,GAUL_ADM2_NAME,GAUL_ADM1_NAME,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean,n_lethal,n_protest,n_routine,log_n_routine,log_n_protest
IDN.1.2_1,AcehBarat,Aceh,Sumatra,Aceh Barat,Nangroe Aceh Darussalam,0.7922220705351056,0.1947005470693846,-0.3717496752343364,0.1051857961119516,-1.1639539022607286,0,46,2,0.4771,1.6721
IDN.1.1_1,AcehBaratDaya,Aceh,Sumatra,Aceh Barat Daya,Nangroe Aceh Darussalam,0.75096117020427,0.2363936545164906,-0.3621299627386611,0.1092613869277384,-1.1130982424273663,0,10,0,0.0,1.0414
IDN.1.3_1,AcehBesar,Aceh,Sumatra,Aceh Besar,Nangroe Aceh Darussalam,0.6949776504740061,0.2257026233572484,-0.3076787458183772,0.1595455517617723,-1.006393192208692,0,9,1,0.301,1.0
IDN.1.4_1,AcehJaya,Aceh,Sumatra,Aceh Jaya,Nangroe Aceh Darussalam,0.8144311747427622,0.2082611253443825,-0.397712285050132,0.1139612501827939,-1.212767884540249,0,4,0,0.0,0.699
IDN.1.5_1,AcehSelatan,Aceh,Sumatra,Aceh Selatan,Nangroe Aceh Darussalam,0.6886401359884982,0.2697684342343083,-0.3598488310640702,0.1187464189757733,-1.04849867967067,0,14,0,0.0,1.1761
IDN.1.6_1,AcehSingkil,Aceh,Sumatra,Aceh Singkil,Nangroe Aceh Darussalam,0.5903367098011761,0.2727728676802679,-0.3368884560557511,0.1540530142721805,-0.931080431800788,0,17,0,0.0,1.2553
IDN.1.7_1,AcehTamiang,Aceh,Sumatra,Aceh Tamiang,Nangroe Aceh Darussalam,0.8427703454122558,0.1480247955610495,-0.3979565520133636,0.07838472766908,-1.2406305164731906,0,15,0,0.0,1.2041
IDN.1.8_1,AcehTengah,Aceh,Sumatra,Aceh Tengah,Nangroe Aceh Darussalam,0.6839731646369389,0.2732895947733859,-0.3243606633465729,0.1273970428732335,-1.0085262924480296,0,34,2,0.4771,1.5441
IDN.1.9_1,AcehTenggara,Aceh,Sumatra,Aceh Tenggara,Nangroe Aceh Darussalam,0.5124750257590129,0.3268961141234447,-0.304665096246743,0.1058912239135626,-0.8169198362358996,0,10,0,0.0,1.0414
IDN.1.10_1,AcehTimur,Aceh,Sumatra,Aceh Timur,Nangroe Aceh Darussalam,0.738845304803127,0.2632764306281718,-0.3632366437445424,0.1083391827547759,-1.1014340309930208,0,17,0,0.0,1.2553
IDN.1.11_1,AcehUtara,Aceh,Sumatra,Aceh Utara,Nangroe Aceh Darussalam,0.7001500152266503,0.2354628002207756,-0.3456531486178009,0.1014557823826829,-1.0455410154267155,0,21,0,0.0,1.3424
IDN.1.12_1,BandaAceh,Aceh,Sumatra,Kota Bandaaceh,Nangroe Aceh Darussalam,0.4230452934899644,0.1795356964442188,-0.1093891167903228,0.1018780518352695,-0.5324393603530523,0,124,9,1.0,2.0969
IDN.1.13_1,BenerMeriah,Aceh,Sumatra,Bener Meriah,Nangroe Aceh Darussalam,0.688385705050972,0.3095002053107887,-0.340095832879118,0.1114438763572624,-1.0278842304345803,0,14,0,0.0,1.1761
IDN.1.14_1,Bireuen,Aceh,Sumatra,Bireuen,Nangroe Aceh Darussalam,0.7242071780084678,0.2506412870790832,-0.3459585139290337,0.1117221989226099,-1.0705303827562596,0,11,0,0.0,1.0792
IDN.1.15_1,GayoLues,Aceh,Sumatra,Gayolues,Nangroe Aceh Darussalam,0.7083345115811447,0.2751658738059324,-0.3465514346874591,0.1120652417072508,-1.0547408024739982,0,3,0,0.0,0.6021
IDN.1.16_1,Langsa,Aceh,Sumatra,Kota Langsa,Nangroe Aceh Darussalam,0.774307584140704,0.2080536534340716,-0.3591193199152373,0.1099863438522935,-1.1313607374020327,0,15,1,0.301,1.2041
